calendar_year,copper_price_usd_per_mt,copper_price_usd_per_lb,log_return
2005,3678.87641666667,1.6687122572899957,
2006,6722.1345,3.0491125454726893,0.6027983540259
2007,7118.226,3.228776841360416,0.05725279904702287
2008,6955.87983333333,3.1551377712863578,-0.023071215986836025
2009,5149.73858333333,2.335884906847135,-0.30064136821935367
2010,7534.77958333333,3.4177225931604225,0.38058362640332055
2011,8828.1875,4.004403253168347,0.15842014813491953
2012,7962.34706281927,3.611664170160513,-0.10322591387515809
2013,7332.10047748447,3.3257887878566237,-0.0824617796822227
2014,6863.3975,3.113188440638296,-0.06605945232382027
2015,5510.45666666667,2.499504071752352,-0.21955508218320144
2016,4867.8975,2.208043789859477,-0.12398538031482362
2017,6169.94,2.798641035643331,0.2370269943682559
2018,6529.79833333333,2.9618702240446564,0.056686946311066314
2019,6010.145,2.726159156680063,-0.08292718499583712
2020,6173.77083333333,2.800378674480559,0.02686093265727944
2021,9317.05,4.226147816857327,0.4115362476189159
2022,8822.36583333333,4.0017625864472475,-0.054555985866269065
2023,8490.29083333333,3.8511357210464077,-0.038366813397942144
2024,9142.14,4.146809881067939,0.0739712380040079
2025,9947.305,4.512027015993686,0.08440716648352482
