dataset_name,source_dataset_label,source_file,source_rows,mapped_rows,source_column_count,mapped_column_count,mapped_columns,mapped_source_columns,unmapped_source_columns,default_columns_applied,missing_required_columns_after_mapping,normalize_period_flag,status,mapping_note
actual_production_monthly,public_demo_actual_production_export,actual_production_monthly.csv,24,24,4,4,site_id; period; throughput_tonnes_actual; copper_production_tonnes_actual,site_id; period; throughput_tonnes_actual; copper_production_tonnes_actual,,,,True,ready_for_validation,Identity mapping for the public sample production file.
cost_actuals_monthly,public_demo_cost_export,cost_actuals_monthly.csv,24,24,7,7,site_id; period; mining_cost_usd_actual; processing_cost_usd_actual; ga_cost_usd_actual; sustaining_capex_usd_actual; working_capital_change_usd_actual,site_id; period; mining_cost_usd_actual; processing_cost_usd_actual; ga_cost_usd_actual; sustaining_capex_usd_actual; working_capital_change_usd_actual,,,,True,ready_for_validation,Identity mapping for the public sample cost file.
cost_center_monthly,public_demo_cost_center_export,cost_center_monthly.csv,72,72,5,5,site_id; period; cost_center; cost_usd_plan; cost_usd_actual,site_id; period; cost_center; cost_usd_plan; cost_usd_actual,,,,True,ready_for_validation,Identity mapping for the public sample cost-center detail file.
market_prices_monthly,public_demo_market_export,market_prices_monthly.csv,24,24,6,6,site_id; period; copper_price_usd_per_lb_actual; tc_rc_usd_per_lb_actual; payable_percent_actual; benchmark_price_name,site_id; period; copper_price_usd_per_lb_actual; tc_rc_usd_per_lb_actual; payable_percent_actual; benchmark_price_name,,,,True,ready_for_validation,Identity mapping for the public sample market file.
plan_monthly,public_demo_plan_export,plan_monthly.csv,24,24,12,12,site_id; period; throughput_tonnes_plan; head_grade_pct_plan; recovery_pct_plan; unit_cost_usd_per_tonne_plan; copper_price_usd_per_lb_plan; tc_rc_usd_per_lb_plan; payable_percent_plan; sustaining_capex_usd_plan; working_capital_change_usd_plan; plan_version,site_id; period; throughput_tonnes_plan; head_grade_pct_plan; recovery_pct_plan; unit_cost_usd_per_tonne_plan; copper_price_usd_per_lb_plan; tc_rc_usd_per_lb_plan; payable_percent_plan; sustaining_capex_usd_plan; working_capital_change_usd_plan; plan_version,,,,True,ready_for_validation,Identity mapping for the public sample plan file.
plant_performance_monthly,public_demo_plant_performance_export,plant_performance_monthly.csv,24,24,7,7,site_id; period; head_grade_pct_actual; recovery_pct_actual; availability_pct_actual; utilization_pct_actual; downtime_hours_actual,site_id; period; head_grade_pct_actual; recovery_pct_actual; availability_pct_actual; utilization_pct_actual; downtime_hours_actual,,,,True,ready_for_validation,Identity mapping for the public sample process file.
process_driver_monthly,public_demo_process_driver_export,process_driver_monthly.csv,48,48,12,12,site_id; period; process_area; ore_source; stockpile_flag; ore_mix_pct; throughput_tonnes_plan; throughput_tonnes_actual; copper_production_tonnes_plan; copper_production_tonnes_actual; availability_pct; downtime_hours,site_id; period; process_area; ore_source; stockpile_flag; ore_mix_pct; throughput_tonnes_plan; throughput_tonnes_actual; copper_production_tonnes_plan; copper_production_tonnes_actual; availability_pct; downtime_hours,,,,True,ready_for_validation,Identity mapping for the public sample process-area driver file.
