scenario_id,scenario_name,npv_usd,cumulative_probability
mc_base,Monte Carlo Base,-10682419984.388987,0.011
mc_base,Monte Carlo Base,-10643779458.315573,0.0111
mc_base,Monte Carlo Base,-10612361845.86891,0.0112
mc_base,Monte Carlo Base,-10608497864.749958,0.0113
mc_base,Monte Carlo Base,-10599048643.139265,0.0114
mc_base,Monte Carlo Base,-10558882549.788128,0.0115
mc_base,Monte Carlo Base,-10555507224.988482,0.0116
mc_base,Monte Carlo Base,-10543361957.074396,0.0117
mc_base,Monte Carlo Base,-10511154528.995878,0.0118
mc_base,Monte Carlo Base,-10508542802.093697,0.0119
mc_base,Monte Carlo Base,-10497748032.338945,0.012
mc_base,Monte Carlo Base,-10496545633.550547,0.0121
mc_base,Monte Carlo Base,-10476758359.57959,0.0122
mc_base,Monte Carlo Base,-10451146314.296394,0.0123
mc_base,Monte Carlo Base,-10444071890.577185,0.0124
mc_base,Monte Carlo Base,-10439379828.498993,0.0125
mc_base,Monte Carlo Base,-10433516547.481346,0.0126
mc_base,Monte Carlo Base,-10395857357.127151,0.0127
mc_base,Monte Carlo Base,-10393561393.408361,0.0128
mc_base,Monte Carlo Base,-10388087314.055408,0.0129
mc_base,Monte Carlo Base,-10369827623.743523,0.013
mc_base,Monte Carlo Base,-10352969061.266499,0.0131
mc_base,Monte Carlo Base,-10346960479.799517,0.0132
mc_base,Monte Carlo Base,-10341997389.02187,0.0133
mc_base,Monte Carlo Base,-10326871130.990604,0.0134
mc_base,Monte Carlo Base,-10310407004.953363,0.0135
mc_base,Monte Carlo Base,-10308064070.89552,0.0136
mc_base,Monte Carlo Base,-10297753395.881235,0.0137
mc_base,Monte Carlo Base,-10287096701.95198,0.0138
mc_base,Monte Carlo Base,-10269059640.426727,0.0139
mc_base,Monte Carlo Base,-10250265596.255438,0.014
mc_base,Monte Carlo Base,-10224471104.749855,0.0141
mc_base,Monte Carlo Base,-10219890359.102272,0.0142
mc_base,Monte Carlo Base,-10178692036.452438,0.0143
mc_base,Monte Carlo Base,-10173112316.149885,0.0144
mc_base,Monte Carlo Base,-10167303540.66547,0.0145
mc_base,Monte Carlo Base,-10146774943.921732,0.0146
mc_base,Monte Carlo Base,-10145838088.617664,0.0147
mc_base,Monte Carlo Base,-10138608936.956652,0.0148
mc_base,Monte Carlo Base,-10137108627.856781,0.0149
mc_base,Monte Carlo Base,-10088269975.329582,0.015
mc_base,Monte Carlo Base,-10064708376.428095,0.0151
mc_base,Monte Carlo Base,-10061656375.255863,0.0152
mc_base,Monte Carlo Base,-10051428748.694283,0.0153
mc_base,Monte Carlo Base,-10045089613.373158,0.0154
mc_base,Monte Carlo Base,-9996357085.680336,0.0155
mc_base,Monte Carlo Base,-9975353835.508305,0.0156
mc_base,Monte Carlo Base,-9951912287.199974,0.0157
mc_base,Monte Carlo Base,-9914517450.328676,0.0158
mc_base,Monte Carlo Base,-9904629661.603252,0.0159
mc_base,Monte Carlo Base,-9899249913.275488,0.016
mc_base,Monte Carlo Base,-9874540678.561209,0.0161
mc_base,Monte Carlo Base,-9861282615.640211,0.0162
mc_base,Monte Carlo Base,-9860583856.917154,0.0163
mc_base,Monte Carlo Base,-9855548666.450834,0.0164
mc_base,Monte Carlo Base,-9854146013.333368,0.0165
mc_base,Monte Carlo Base,-9847810143.300482,0.0166
mc_base,Monte Carlo Base,-9830284097.288494,0.0167
mc_base,Monte Carlo Base,-9806380866.252264,0.0168
mc_base,Monte Carlo Base,-9806148548.992718,0.0169
mc_base,Monte Carlo Base,-9790108945.068676,0.017
mc_base,Monte Carlo Base,-9786111165.696407,0.0171
mc_base,Monte Carlo Base,-9758913477.978373,0.0172
mc_base,Monte Carlo Base,-9746926608.629936,0.0173
mc_base,Monte Carlo Base,-9736921831.487293,0.0174
mc_base,Monte Carlo Base,-9729037068.463701,0.0175
mc_base,Monte Carlo Base,-9718013526.101746,0.0176
mc_base,Monte Carlo Base,-9709145439.637362,0.0177
mc_base,Monte Carlo Base,-9704828380.131899,0.0178
mc_base,Monte Carlo Base,-9681624278.128315,0.0179
mc_base,Monte Carlo Base,-9675167099.127344,0.018
mc_base,Monte Carlo Base,-9661810911.782059,0.0181
mc_base,Monte Carlo Base,-9605455577.607645,0.0182
mc_base,Monte Carlo Base,-9601444162.094608,0.0183
mc_base,Monte Carlo Base,-9591973261.884695,0.0184
mc_base,Monte Carlo Base,-9586455843.687204,0.0185
mc_base,Monte Carlo Base,-9582968330.023037,0.0186
mc_base,Monte Carlo Base,-9582376148.756742,0.0187
mc_base,Monte Carlo Base,-9577753030.801498,0.0188
mc_base,Monte Carlo Base,-9558296537.64082,0.0189
mc_base,Monte Carlo Base,-9549998183.728539,0.019
mc_base,Monte Carlo Base,-9537595236.65898,0.0191
mc_base,Monte Carlo Base,-9523698910.544262,0.0192
mc_base,Monte Carlo Base,-9519619089.039747,0.0193
mc_base,Monte Carlo Base,-9516657145.88536,0.0194
mc_base,Monte Carlo Base,-9515093947.502218,0.0195
mc_base,Monte Carlo Base,-9490679282.582468,0.0196
mc_base,Monte Carlo Base,-9473870103.14073,0.0197
mc_base,Monte Carlo Base,-9459721777.515163,0.0198
mc_base,Monte Carlo Base,-9441618109.301065,0.0199
mc_base,Monte Carlo Base,-9437799770.07902,0.02
mc_base,Monte Carlo Base,-9435024571.125265,0.0201
mc_base,Monte Carlo Base,-9426937110.597075,0.0202
mc_base,Monte Carlo Base,-9419062298.943338,0.0203
mc_base,Monte Carlo Base,-9418832202.29643,0.0204
mc_base,Monte Carlo Base,-9417250656.200232,0.0205
mc_base,Monte Carlo Base,-9376794798.900003,0.0206
mc_base,Monte Carlo Base,-9359419621.489452,0.0207
mc_base,Monte Carlo Base,-9340307434.09006,0.0208
mc_base,Monte Carlo Base,-9336669695.813433,0.0209
mc_base,Monte Carlo Base,-9325970744.60181,0.021
mc_base,Monte Carlo Base,-9319094471.53412,0.0211
mc_base,Monte Carlo Base,-9278187659.829142,0.0212
mc_base,Monte Carlo Base,-9274358963.429344,0.0213
mc_base,Monte Carlo Base,-9272338631.259632,0.0214
mc_base,Monte Carlo Base,-9267447585.772913,0.0215
mc_base,Monte Carlo Base,-9255888033.082317,0.0216
mc_base,Monte Carlo Base,-9250198524.807972,0.0217
mc_base,Monte Carlo Base,-9243771866.261227,0.0218
mc_base,Monte Carlo Base,-9239816982.644432,0.0219
mc_base,Monte Carlo Base,-9231698840.173178,0.022
mc_base,Monte Carlo Base,-9222213637.217546,0.0221
mc_base,Monte Carlo Base,-9214172656.157333,0.0222
mc_base,Monte Carlo Base,-9211760807.572407,0.0223
mc_base,Monte Carlo Base,-9210622509.477009,0.0224
mc_base,Monte Carlo Base,-9206415057.240728,0.0225
mc_base,Monte Carlo Base,-9204284008.62277,0.0226
mc_base,Monte Carlo Base,-9161399873.767788,0.0227
mc_base,Monte Carlo Base,-9151062532.158812,0.0228
