dataset_name,source_dataset_label,source_file,source_rows,mapped_rows,source_column_count,mapped_column_count,mapped_columns,mapped_source_columns,unmapped_source_columns,default_columns_applied,missing_required_columns_after_mapping,normalize_year_flag,status,mapping_note
annual_appendix_inputs,public_demo_annual_driver_export,annual_appendix_inputs.csv,15,15,10,10,year; calendar_year; copper_price_usd_per_lb; base_processed_tonnes; base_head_grade; base_recovery; base_unit_cost_usd_per_tonne; expansion_unit_cost_usd_per_tonne; initial_capex_usd; sustaining_capex_usd,year; calendar_year; copper_price_usd_per_lb; base_processed_tonnes; base_head_grade; base_recovery; base_unit_cost_usd_per_tonne; expansion_unit_cost_usd_per_tonne; initial_capex_usd; sustaining_capex_usd,,,,True,ready_for_validation,Identity mapping for the public sample annual appendix driver file.
appendix_benchmark_metrics,public_demo_appendix_benchmark_export,appendix_benchmark_metrics.csv,5,5,8,8,metric; value; unit; currency; valuation_basis; timing_basis; benchmark_source; note,metric; value; unit; currency; valuation_basis; timing_basis; benchmark_source; note,,,,False,ready_for_validation,Identity mapping for the public sample appendix benchmark metric table.
appendix_parameters,public_demo_appendix_parameter_export,appendix_parameters.csv,21,21,8,8,parameter_name; value; unit; parameter_group; used_by; source_type; source_reference; note,parameter_name; value; unit; parameter_group; used_by; source_type; source_reference; note,,,,False,ready_for_validation,Identity mapping for the public sample annual appendix parameter table.
appendix_scenarios,public_demo_appendix_scenario_export,appendix_scenarios.csv,6,6,11,11,scenario_id; scenario_name; category; description; price_factor; grade_factor; recovery_factor; throughput_factor; opex_factor; capex_factor; wacc_shift_bps,scenario_id; scenario_name; category; description; price_factor; grade_factor; recovery_factor; throughput_factor; opex_factor; capex_factor; wacc_shift_bps,,,,False,ready_for_validation,Identity mapping for the public sample deterministic appendix scenario table.
