iteration,average_price_usd_per_lb,terminal_price_usd_per_lb,price_path_std_usd_per_lb,grade_factor,average_recovery,recovery_std,npv_usd,scenario_id,scenario_name,valuation_basis
48,6.26054,7.61303,1.97189,0.86693,0.84626,0.01923,3217255898.95015,mc_base,Monte Carlo Base,total_project_expanded_operation
49,4.30041,4.6063,0.61029,0.97403,0.84475,0.02475,712817542.4432,mc_base,Monte Carlo Base,total_project_expanded_operation
50,4.97676,7.91215,1.45557,1.10047,0.84243,0.02317,5878698728.72773,mc_base,Monte Carlo Base,total_project_expanded_operation
51,4.0206,4.68513,0.48294,0.95649,0.84167,0.02988,-1280337361.27997,mc_base,Monte Carlo Base,total_project_expanded_operation
52,4.62738,5.40731,1.04297,1.05351,0.84497,0.01781,3569586957.90338,mc_base,Monte Carlo Base,total_project_expanded_operation
53,4.87976,4.47563,1.14493,0.93045,0.83688,0.02334,169206673.64649,mc_base,Monte Carlo Base,total_project_expanded_operation
54,4.26795,5.38989,0.75633,1.11665,0.84762,0.02377,2790783316.59553,mc_base,Monte Carlo Base,total_project_expanded_operation
55,4.60151,4.44751,0.75236,1.13517,0.84953,0.02087,5507213229.98027,mc_base,Monte Carlo Base,total_project_expanded_operation
56,3.46341,4.30515,0.66193,1.13418,0.8356,0.02257,-1451733380.65694,mc_base,Monte Carlo Base,total_project_expanded_operation
57,5.22579,5.74244,1.12134,0.93057,0.84996,0.01957,2876220449.50787,mc_base,Monte Carlo Base,total_project_expanded_operation
58,4.34943,4.9088,0.94483,1.0252,0.84042,0.02785,712751777.98176,mc_base,Monte Carlo Base,total_project_expanded_operation
59,4.03657,6.16888,1.18281,0.96364,0.83594,0.02264,-3489774611.0146,mc_base,Monte Carlo Base,total_project_expanded_operation
60,4.48202,3.9918,0.98362,0.96829,0.84226,0.02159,953283642.14733,mc_base,Monte Carlo Base,total_project_expanded_operation
61,5.03415,7.29549,1.58932,1.06706,0.83487,0.02271,4304982609.31578,mc_base,Monte Carlo Base,total_project_expanded_operation
62,3.86745,6.07812,1.53247,0.97066,0.83879,0.02115,-4955248084.20718,mc_base,Monte Carlo Base,total_project_expanded_operation
63,4.50374,7.3142,1.23735,1.05286,0.84652,0.01996,1896416732.72997,mc_base,Monte Carlo Base,total_project_expanded_operation
64,5.44318,5.85239,0.85135,1.14789,0.84699,0.01918,10279572578.13697,mc_base,Monte Carlo Base,total_project_expanded_operation
65,4.13751,5.36174,0.66506,0.90085,0.84754,0.02383,-1650879696.49011,mc_base,Monte Carlo Base,total_project_expanded_operation
66,4.69401,5.45248,0.73134,1.00707,0.83642,0.02171,4017412807.70332,mc_base,Monte Carlo Base,total_project_expanded_operation
67,4.82471,6.37911,0.97889,1.10325,0.84452,0.02243,5650482662.46294,mc_base,Monte Carlo Base,total_project_expanded_operation
68,4.77646,7.15994,1.28385,1.14495,0.8417,0.01852,4848805889.13384,mc_base,Monte Carlo Base,total_project_expanded_operation
69,4.55041,4.85066,0.75712,1.14136,0.8523,0.02575,5140491582.86173,mc_base,Monte Carlo Base,total_project_expanded_operation
70,4.9609,7.30033,1.157,1.12432,0.8383,0.02594,5955317096.81871,mc_base,Monte Carlo Base,total_project_expanded_operation
71,4.0856,3.40161,0.92363,1.0776,0.83939,0.02052,2145074176.69962,mc_base,Monte Carlo Base,total_project_expanded_operation
72,4.44559,5.2405,0.76265,1.09016,0.83827,0.01673,3483023647.66175,mc_base,Monte Carlo Base,total_project_expanded_operation
73,4.302,4.99837,1.03843,1.06743,0.84756,0.0231,1776186627.56883,mc_base,Monte Carlo Base,total_project_expanded_operation
74,4.58309,4.35133,0.90963,1.07534,0.85171,0.03085,4565322677.77098,mc_base,Monte Carlo Base,total_project_expanded_operation
75,4.46739,6.45945,0.96405,0.97557,0.84089,0.02265,-417722898.36282,mc_base,Monte Carlo Base,total_project_expanded_operation
76,4.31243,5.67314,0.98045,1.12296,0.84715,0.01379,2361702729.27484,mc_base,Monte Carlo Base,total_project_expanded_operation
77,4.17598,5.20755,0.78228,1.00856,0.8425,0.02467,87465243.34543,mc_base,Monte Carlo Base,total_project_expanded_operation
78,4.7626,4.33742,1.02777,0.87407,0.84171,0.01792,364032690.27536,mc_base,Monte Carlo Base,total_project_expanded_operation
79,4.72636,4.32481,1.04351,0.96972,0.84796,0.01873,2663613227.31477,mc_base,Monte Carlo Base,total_project_expanded_operation
80,3.94671,5.71442,0.7889,1.06035,0.84306,0.01205,-732391266.35085,mc_base,Monte Carlo Base,total_project_expanded_operation
81,3.96386,3.7626,0.73426,1.05005,0.8531,0.02125,377969158.3745,mc_base,Monte Carlo Base,total_project_expanded_operation
82,5.06902,6.02855,1.17665,0.987,0.83819,0.02552,2648580777.02529,mc_base,Monte Carlo Base,total_project_expanded_operation
83,4.29363,4.86295,0.81729,0.96057,0.84375,0.02176,651687632.16382,mc_base,Monte Carlo Base,total_project_expanded_operation
84,4.18978,4.71475,0.95637,0.85244,0.84118,0.02021,-4236636648.31925,mc_base,Monte Carlo Base,total_project_expanded_operation
85,4.63218,7.88196,1.50923,1.12236,0.84331,0.02159,2479267725.72078,mc_base,Monte Carlo Base,total_project_expanded_operation
